label;group;color;region_name;hemisphere
8;non-RichClub;#7f7f7f;Left-Cerebellum-Cortex;left
10;thalamus;#1f77b4;Left-Thalamus-Proper;left
11;Caudate;#8c564b;Left-Caudate;left
12;putamen;#2ca02c;Left-Putamen;left
13;Pallidum;#aec7e8;Left-Pallidum;left
16;non-RichClub;#7f7f7f;Brain-Stem;left
17;hippocampus;#d62728;Left-Hippocampus;left
18;non-RichClub;#7f7f7f;Left-Amygdala;left
26;non-RichClub;#7f7f7f;Left-Accumbens-area;left
28;non-RichClub;#7f7f7f;Left-VentralDC;left
47;non-RichClub;#7f7f7f;Right-Cerebellum-Cortex;right
49;thalamus;#1f77b4;Right-Thalamus-Proper;right
50;Caudate;#8c564b;Right-Caudate;right
51;putamen;#2ca02c;Right-Putamen;right
52;Pallidum;#aec7e8;Right-Pallidum;right
53;hippocampus;#d62728;Right-Hippocampus;right
54;non-RichClub;#7f7f7f;Right-Amygdala;right
58;non-RichClub;#7f7f7f;Right-Accumbens-area;right
60;non-RichClub;#7f7f7f;Right-VentralDC;right
1001;non-RichClub;#7f7f7f;ctx-lh-bankssts;left
1002;Cingulate;#ff7f0e;ctx-lh-caudalanteriorcingulate;left
1003;non-RichClub;#7f7f7f;ctx-lh-caudalmiddlefrontal;left
1005;non-RichClub;#7f7f7f;ctx-lh-cuneus;left
1006;non-RichClub;#7f7f7f;ctx-lh-entorhinal;left
1007;non-RichClub;#7f7f7f;ctx-lh-fusiform;left
1008;non-RichClub;#7f7f7f;ctx-lh-inferiorparietal;left
1009;non-RichClub;#7f7f7f;ctx-lh-inferiortemporal;left
1010;Cingulate;#ff7f0e;ctx-lh-isthmuscingulate;left
1011;non-RichClub;#7f7f7f;ctx-lh-lateraloccipital;left
1012;non-RichClub;#7f7f7f;ctx-lh-lateralorbitofrontal;left
1013;non-RichClub;#7f7f7f;ctx-lh-lingual;left
1014;non-RichClub;#7f7f7f;ctx-lh-medialorbitofrontal;left
1015;non-RichClub;#7f7f7f;ctx-lh-middletemporal;left
1016;non-RichClub;#7f7f7f;ctx-lh-parahippocampal;left
1017;Paracentral;#17becf;ctx-lh-paracentral;left
1018;non-RichClub;#7f7f7f;ctx-lh-parsopercularis;left
1019;non-RichClub;#7f7f7f;ctx-lh-parsorbitalis;left
1020;non-RichClub;#7f7f7f;ctx-lh-parstriangularis;left
1021;non-RichClub;#7f7f7f;ctx-lh-pericalcarine;left
1022;non-RichClub;#7f7f7f;ctx-lh-postcentral;left
1023;Cingulate;#ff7f0e;ctx-lh-posteriorcingulate;left
1024;non-RichClub;#7f7f7f;ctx-lh-precentral;left
1025;precuneus;#9467bd;ctx-lh-precuneus;left
1026;Cingulate;#ff7f0e;ctx-lh-rostralanteriorcingulate;left
1027;non-RichClub;#7f7f7f;ctx-lh-rostralmiddlefrontal;left
1028;Superior frontal Cortex; #dbdb8d;ctx-lh-superiorfrontal;left
1029;superiorParietal;#e377c2;ctx-lh-superiorparietal;left
1030;non-RichClub;#7f7f7f;ctx-lh-superiortemporal;left
1031;non-RichClub;#7f7f7f;ctx-lh-supramarginal;left
1032;non-RichClub;#7f7f7f;ctx-lh-frontalpole;left
1033;non-RichClub;#7f7f7f;ctx-lh-temporalpole;left
1034;non-RichClub;#7f7f7f;ctx-lh-transversetemporal;left
1035;non-RichClub;#7f7f7f;ctx-lh-insula;left
2001;non-RichClub;#7f7f7f;ctx-rh-bankssts;right
2002;Cingulate;#ff7f0e;ctx-rh-caudalanteriorcingulate;right
2003;non-RichClub;#7f7f7f;ctx-rh-caudalmiddlefrontal;right
